Codex Name,Key,Id,Time (s),DESIRED LEFT POWER,DESIRED RIGHT POWER,LEFT POSITION ROT,RIGHT POSITION ROT,LEFT VELOCITY RPM,RIGHT VELOCITY RPM,OPEN LOOP THROTTLE,OPEN LOOP TURN,OPEN LOOP CALC LEFT POWER,OPEN LOOP CALC RIGHT POWER,LEFT TALON MASTER VOLTAGE,LEFT TALON FOLLOW VOLTAGE,LEFT TALON MASTER CURRENT,LEFT TALON FOLLOW CURRENT,RIGHT TALON MASTER VOLTAGE,RIGHT TALON FOLLOW VOLTAGE,RIGHT TALON MASTER CURRENT,RIGHT TALON FOLLOW CURRENT,TALON VBUS,dt,vel (ft/s),v/V
EDriveTrain,-1,4732,241.213042,0.1,0.1,4916,-991,0,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0.25,0,1.241348974,1.236363636,0.75,0.5,12.4,0,0,0
EDriveTrain,-1,4733,241.229252,0.1,0.1,4914,-990,-1,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0.25,0,1.241348974,1.236363636,0.75,0.5,12.4,0.01621,0.032724923,0.026362388
EDriveTrain,-1,4734,241.243694,0.1,0.1,4912,-991,-3,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0.25,0,1.241348974,1.236363636,0.75,0.5,12.4,0.014442,0.09817477,0.079087164
EDriveTrain,-1,4735,241.258797,0.1,0.1,4908,-991,-5,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.5,0.5,12.375,0.015103,0.163624617,0.132343441
EDriveTrain,-1,4736,241.274529,0.1,0.1,4905,-990,-8,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.5,0.5,12.375,0.015732,0.261799388,0.211749505
EDriveTrain,-1,4737,241.291457,0.1,0.1,4902,-991,-11,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.5,0.5,12.375,0.016928,0.359974158,0.291155569
EDriveTrain,-1,4738,241.305864,0.1,0.1,4899,-991,-13,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.5,0.5,12.375,0.014407,0.425424005,0.344092945
EDriveTrain,-1,4739,241.321159,0.1,0.1,4896,-990,-15,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.5,0.375,12.375,0.015295,0.490873852,0.397030322
EDriveTrain,-1,4740,241.335624,0.1,0.1,4893,-990,-16,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.5,0.375,12.375,0.014465,0.523598776,0.42349901
EDriveTrain,-1,4741,241.355862,0.1,0.1,4888,-990,-18,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.5,0.375,12.375,0.020238,0.589048623,0.476436386
EDriveTrain,-1,4742,241.376577,0.1,0.1,4884,-990,-19,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.5,0.375,12.375,0.020715,0.621773546,0.502905074
EDriveTrain,-1,4743,241.396229,0.1,0.1,4880,-991,-20,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.5,0.375,12.375,0.019652,0.654498469,0.529373762
EDriveTrain,-1,4744,241.415604,0.1,0.1,4876,-991,-20,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.25,0.375,12.375,0.019375,0.654498469,0.529373762
EDriveTrain,-1,4745,241.433057,0.1,0.1,4872,-991,-21,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.25,0.375,12.375,0.017453,0.687223393,0.55584245
EDriveTrain,-1,4746,241.448216,0.1,0.1,4868,-991,-21,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.25,0.375,12.375,0.015159,0.687223393,0.55584245
EDriveTrain,-1,4747,241.463163,0.1,0.1,4865,-991,-22,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.25,0.375,12.375,0.014947,0.719948316,0.582311138
EDriveTrain,-1,4748,241.478586,0.1,0.1,4861,-991,-22,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.236363636,1.236363636,0.25,0.375,12.375,0.015423,0.719948316,0.582311138
EDriveTrain,-1,4749,241.494625,0.1,0.1,4857,-991,-22,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.375,12.4,0.016039,0.719948316,0.579972539
EDriveTrain,-1,4750,241.51317,0.1,0.1,4852,-991,-23,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.375,12.4,0.018545,0.75267324,0.606334928
EDriveTrain,-1,4751,241.531596,0.1,0.1,4847,-990,-23,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.375,12.4,0.018426,0.75267324,0.606334928
EDriveTrain,-1,4752,241.546341,0.1,0.1,4843,-990,-24,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.375,12.4,0.014745,0.785398163,0.632697316
EDriveTrain,-1,4753,241.561105,0.1,0.1,4840,-990,-24,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.375,12.4,0.014764,0.785398163,0.632697316
EDriveTrain,-1,4754,241.575573,0.1,0.1,4835,-990,-25,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.375,12.4,0.014468,0.818123087,0.659059704
EDriveTrain,-1,4755,241.596488,0.1,0.1,4829,-991,-26,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.375,12.4,0.020915,0.85084801,0.685422092
EDriveTrain,-1,4756,241.617128,0.1,0.1,4823,-990,-26,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.02064,0.85084801,0.685422092
EDriveTrain,-1,4757,241.637302,0.1,0.1,4818,-990,-27,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.020174,0.883572934,0.71178448
EDriveTrain,-1,4758,241.657861,0.1,0.1,4812,-991,-27,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.020559,0.883572934,0.71178448
EDriveTrain,-1,4759,241.677177,0.1,0.1,4807,-990,-28,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.019316,0.916297857,0.738146868
EDriveTrain,-1,4760,241.696712,0.1,0.1,4801,-991,-28,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.019535,0.916297857,0.738146868
EDriveTrain,-1,4761,241.717381,0.1,0.1,4795,-990,-27,0,0.1,0,0.1,0.1,-1.231378299,-1.231378299,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.020669,0.883572934,0.71178448
EDriveTrain,-1,4762,241.736145,0.1,0.1,4790,-991,-27,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.018764,0.883572934,0.71178448
EDriveTrain,-1,4763,241.75731,0.1,0.1,4784,-990,-28,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.021165,0.916297857,0.738146868
EDriveTrain,-1,4764,241.777186,0.1,0.1,4778,-990,-28,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.019876,0.916297857,0.738146868
EDriveTrain,-1,4765,241.797713,0.1,0.1,4772,-991,-28,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.020527,0.916297857,0.738146868
EDriveTrain,-1,4766,241.815827,0.1,0.1,4766,-990,-28,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.018114,0.916297857,0.738146868
EDriveTrain,-1,4767,241.836248,0.1,0.1,4760,-991,-29,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.020421,0.949022781,0.764509256
EDriveTrain,-1,4768,241.857112,0.1,0.1,4754,-990,-29,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.020864,0.949022781,0.764509256
EDriveTrain,-1,4769,241.876688,0.1,0.1,4748,-991,-29,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.019576,0.949022781,0.764509256
EDriveTrain,-1,4770,241.896758,0.1,0.1,4742,-991,-29,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.02007,0.949022781,0.764509256
EDriveTrain,-1,4771,241.916607,0.1,0.1,4736,-990,-29,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.019849,0.949022781,0.764509256
EDriveTrain,-1,4772,241.937315,0.1,0.1,4729,-991,-30,0,0.1,0,0.1,0.1,-1.231378299,-1.236363636,0,0,1.241348974,1.236363636,0.25,0.125,12.4,0.020708,0.981747704,0.790871645
